Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Job Title,2018-06,Technical Support,Median Base Pay,45997,0.03
National,Job Title,2018-06,UX Designer,Median Base Pay,77134,-0.001
Atlanta,Job Title,2018-06,Software Engineer,Median Base Pay,84577,0.018
Atlanta,Job Title,2018-06,Programmer Analyst,Median Base Pay,73849,0.005
Atlanta,Job Title,2018-06,Consultant,Median Base Pay,84297,0.017
Atlanta,Job Title,2018-06,Project Manager,Median Base Pay,77206,-0.006
Atlanta,Job Title,2018-06,Store Manager,Median Base Pay,51320,0.017
Atlanta,Job Title,2018-06,Business Analyst,Median Base Pay,72012,0.007
Atlanta,Job Title,2018-06,Cashier,Median Base Pay,26676,0.048
Atlanta,Job Title,2018-06,Financial Analyst,Median Base Pay,65260,0.021
Atlanta,Job Title,2018-06,Administrative Assistant,Median Base Pay,40858,0.018
Atlanta,Job Title,2018-06,Accountant,Median Base Pay,57276,0.024
Atlanta,Job Title,2018-06,Sales Representative,Median Base Pay,50823,0.01
Atlanta,Job Title,2018-06,Professor,Median Base Pay,89998,-0.002
Atlanta,Job Title,2018-06,Registered Nurse,Median Base Pay,65816,0.012
Atlanta,Job Title,2018-06,Marketing Manager,Median Base Pay,76130,0.014
Atlanta,Job Title,2018-06,Operations Manager,Median Base Pay,70958,0.003
Atlanta,Job Title,2018-06,Product Manager,Median Base Pay,99949,0.022
Atlanta,Job Title,2018-06,Sales Manager,Median Base Pay,66961,0.023
Atlanta,Job Title,2018-06,Teacher,Median Base Pay,48581,0.028
Atlanta,Job Title,2018-06,Bank Teller,Median Base Pay,32316,0.08
Atlanta,Job Title,2018-06,Customer Service Manager,Median Base Pay,57276,0.031
Atlanta,Job Title,2018-06,Physical Therapist,Median Base Pay,73022,-0.024
Atlanta,Job Title,2018-06,Mechanical Engineer,Median Base Pay,73872,0.03
Atlanta,Job Title,2018-06,Recruiter,Median Base Pay,53263,0.019
Atlanta,Job Title,2018-06,Design Engineer,Median Base Pay,72947,0.054
Atlanta,Job Title,2018-06,Pharmacy Technician,Median Base Pay,29460,0.023
Atlanta,Job Title,2018-06,Graphic Designer,Median Base Pay,51056,0.028
Atlanta,Job Title,2018-06,Web Developer,Median Base Pay,77129,0.041
Atlanta,Job Title,2018-06,Business Development Manager,Median Base Pay,75202,0.042
Atlanta,Job Title,2018-06,Data Scientist,Median Base Pay,98512,-0.003
Atlanta,Job Title,2018-06,Buyer,Median Base Pay,58833,0.022
Atlanta,Job Title,2018-06,Data Analyst,Median Base Pay,65350,0.019
Atlanta,Job Title,2018-06,Electrical Engineer,Median Base Pay,76933,0.015
Atlanta,Job Title,2018-06,Attorney,Median Base Pay,104408,0.016
Atlanta,Job Title,2018-06,Human Resources Manager,Median Base Pay,74705,0.017
Atlanta,Job Title,2018-06,Technician,Median Base Pay,46011,0.019
Atlanta,Job Title,2018-06,Restaurant Cook,Median Base Pay,27095,0.012
Atlanta,Job Title,2018-06,Production Manager,Median Base Pay,67584,0.021
Atlanta,Job Title,2018-06,Manufacturing Engineer,Median Base Pay,72278,0.004
Atlanta,Job Title,2018-06,Retail Key Holder,Median Base Pay,29857,0.049
Atlanta,Job Title,2018-06,Paralegal,Median Base Pay,54006,0.014
Atlanta,Job Title,2018-06,Java Developer,Median Base Pay,79675,0.05
Atlanta,Job Title,2018-06,Warehouse Associate,Median Base Pay,43256,0.068
